agent,from_x,from_y,to_x,to_y,time_step
3,37.96136095248602,23.70832942601102,37.96132387302288,23.707870968909273,0
3,37.96132387302288,23.707870968909273,37.96132387302288,23.707870968909273,1
3,37.96132387302288,23.707870968909273,37.96132387302288,23.707870968909273,2
3,37.96132387302288,23.707870968909273,37.96132387302288,23.707870968909273,3
3,37.96132387302288,23.707870968909273,37.96102878808392,23.70787701305778,4
3,37.96102878808392,23.70787701305778,37.96102878808392,23.70787701305778,5
3,37.96102878808392,23.70787701305778,37.96102878808392,23.70787701305778,6
3,37.96102878808392,23.70787701305778,37.96102878808392,23.70787701305778,7
3,37.96102878808392,23.70787701305778,37.960976981735115,23.70821361714788,8
3,37.960976981735115,23.70821361714788,37.960976981735115,23.70821361714788,8
3,37.960976981735115,23.70821361714788,37.960976981735115,23.70821361714788,9
3,37.960976981735115,23.70821361714788,37.960976981735115,23.70821361714788,10
3,37.960976981735115,23.70821361714788,37.96085035984665,23.707945006901014,11
3,37.96085035984665,23.707945006901014,37.96085035984665,23.707945006901014,12
3,37.96085035984665,23.707945006901014,37.96085035984665,23.707945006901014,13
3,37.96085035984665,23.707945006901014,37.96085035984665,23.707945006901014,14
3,37.96085035984665,23.707945006901014,37.960976981735115,23.70821361714788,15
3,37.960976981735115,23.70821361714788,37.960976981735115,23.70821361714788,16
3,37.960976981735115,23.70821361714788,37.960976981735115,23.70821361714788,17
3,37.960976981735115,23.70821361714788,37.960976981735115,23.70821361714788,18
3,37.960976981735115,23.70821361714788,37.96136095248602,23.70832942601102,19
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,20
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,21
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,22
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,23
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,24
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,25
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,26
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,27
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,28
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,29
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,30
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,31
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,32
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,33
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,34
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,35
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,36
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,37
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,38
3,37.96136095248602,23.70832942601102,37.96136095248602,23.70832942601102,39
1,37.96136095248602,23.70832942601102,37.961221415019075,23.70894032663175,0
1,37.961221415019075,23.70894032663175,37.961221415019075,23.70894032663175,1
1,37.961221415019075,23.70894032663175,37.961221415019075,23.70894032663175,2
1,37.961221415019075,23.70894032663175,37.961221415019075,23.70894032663175,3
1,37.961221415019075,23.70894032663175,37.96090262434698,23.70893082168229,4
1,37.96090262434698,23.70893082168229,37.96090262434698,23.70893082168229,5
1,37.96090262434698,23.70893082168229,37.96090262434698,23.70893082168229,6
